epoch,loss,dice_coefficient,binary_accuracy,precision,recall,val_loss,val_dice_coefficient,val_binary_accuracy,val_precision,val_recall,lr
1,0.9668356776237488,0.10625619441270828,0.5372781157493591,0.062087420374155045,0.8602885007858276,1.0879822969436646,0.07034378498792648,0.11561033874750137,0.038177285343408585,0.9970343708992004,1e-04
2,0.8222340941429138,0.1260373890399933,0.5963869690895081,0.07839571684598923,0.9722713232040405,1.040527582168579,0.0766705721616745,0.30623188614845276,0.047919485718011856,0.9914530515670776,1e-04
3,0.7749953866004944,0.13354362547397614,0.6449320912361145,0.08937907218933105,0.988156795501709,0.9747350811958313,0.08577345311641693,0.7235552072525024,0.10902688652276993,0.9554659128189087,1e-04
4,0.7480710744857788,0.13886353373527527,0.6865255236625671,0.1004275307059288,0.9926260709762573,0.9325506091117859,0.09303998202085495,0.9103800058364868,0.27171385288238525,0.9198915958404541,1e-04
5,0.7292936444282532,0.1421595960855484,0.7257242798805237,0.11333398520946503,0.9945067763328552,0.8928990960121155,0.10133306682109833,0.936346173286438,0.34342268109321594,0.8862517476081848,1e-04
6,0.7145533561706543,0.14540421962738037,0.7589643597602844,0.12709183990955353,0.9955810308456421,0.8655354380607605,0.10747800767421722,0.9396615624427795,0.35497790575027466,0.8738043904304504,1e-04
7,0.7015174031257629,0.1480059176683426,0.788628876209259,0.1425188034772873,0.9967460632324219,0.8346214890480042,0.11468372493982315,0.9440773725509644,0.37398889660835266,0.8733507990837097,1e-04
8,0.6894415020942688,0.1500895470380783,0.814002275466919,0.15898708999156952,0.9977127313613892,0.7913290858268738,0.12467386573553085,0.9478749632835388,0.3935241997241974,0.8882288336753845,1e-04
9,0.6785228848457336,0.15333746373653412,0.8360288739204407,0.17663265764713287,0.9981583952903748,0.7555737495422363,0.13391003012657166,0.9513196349143982,0.4121273458003998,0.8976939916610718,1e-04
10,0.6683472394943237,0.15491236746311188,0.8563340902328491,0.19672834873199463,0.9984307885169983,0.7252691388130188,0.14147739112377167,0.9572017192840576,0.4471778869628906,0.9131180644035339,1e-04
11,0.6590285301208496,0.15742789208889008,0.8733478784561157,0.2174408733844757,0.9986081719398499,0.7120855450630188,0.14634166657924652,0.9634594321250916,0.48978084325790405,0.9098137021064758,1e-04
12,0.6504113078117371,0.15961496531963348,0.8890543580055237,0.24084289371967316,0.9987837076187134,0.6805347204208374,0.15410518646240234,0.9662252068519592,0.5111222863197327,0.9328462481498718,1e-04
13,0.6422750949859619,0.16150663793087006,0.9013370275497437,0.26298099756240845,0.9990221261978149,0.676834762096405,0.1564771980047226,0.9684324860572815,0.529319703578949,0.9324408173561096,1e-04
14,0.6346728801727295,0.16281533241271973,0.9124357104301453,0.28677746653556824,0.9991310834884644,0.6857078671455383,0.1554829329252243,0.9690730571746826,0.5353409647941589,0.920185923576355,1e-04
15,0.62778639793396,0.16552217304706573,0.9220103025436401,0.3110423982143402,0.9991283416748047,0.68223637342453,0.1574425995349884,0.9718641042709351,0.5618105530738831,0.9124516844749451,1e-04
16,0.6215264201164246,0.16803915798664093,0.9301586151123047,0.33518096804618835,0.9991441369056702,0.6708204746246338,0.16193918883800507,0.9741140007972717,0.5848749279975891,0.911981463432312,1e-04
