epoch,loss,dice_coefficient,binary_accuracy,precision,recall,val_loss,val_dice_coefficient,val_binary_accuracy,val_precision,val_recall,lr
1,1.6600054502487183,0.08390587568283081,0.4293503165245056,0.039394352585077286,0.3044120967388153,1.0121082067489624,0.1189660131931305,0.1314987689256668,0.06520867347717285,0.9522717595100403,1e-04
2,1.1892504692077637,0.137153759598732,0.4929405748844147,0.07954218983650208,0.5877630114555359,0.986696720123291,0.12532170116901398,0.20253002643585205,0.07255397737026215,0.9826601147651672,1e-04
3,0.927070140838623,0.18192757666110992,0.5407317280769348,0.11482685804367065,0.8248741626739502,0.9632927775382996,0.13083718717098236,0.34010568261146545,0.08575557172298431,0.973863422870636,1e-04
4,0.8225601315498352,0.20760883390903473,0.5821918249130249,0.13667643070220947,0.9299346208572388,0.9379855990409851,0.1364033818244934,0.5183604955673218,0.11084840446710587,0.9395544528961182,1e-04
5,0.7748106122016907,0.22107751667499542,0.6202762126922607,0.15254619717597961,0.9663773775100708,0.9116942286491394,0.14249174296855927,0.6810059547424316,0.15235789120197296,0.8834257125854492,1e-04
6,0.7431052327156067,0.2312043309211731,0.6537898778915405,0.16660204529762268,0.9807888269424438,0.8869383931159973,0.1491529941558838,0.7982552647590637,0.21416102349758148,0.8174653649330139,1e-04
7,0.7166504263877869,0.23974460363388062,0.6827442049980164,0.1799560934305191,0.9877986907958984,0.8695969581604004,0.15455147624015808,0.8713780045509338,0.3000490367412567,0.7718859910964966,1e-04
8,0.6974799633026123,0.24598388373851776,0.706346869468689,0.19205623865127563,0.990930438041687,0.8542855381965637,0.1595657914876938,0.9015326499938965,0.3663592040538788,0.7581672072410583,1e-04
9,0.6819546222686768,0.25109031796455383,0.7271628379821777,0.20396924018859863,0.9927242398262024,0.8395727276802063,0.16420139372348785,0.9060389995574951,0.38097596168518066,0.7714819312095642,1e-04
10,0.666423499584198,0.2564938962459564,0.7474786639213562,0.21703290939331055,0.9942308068275452,0.825161874294281,0.16904616355895996,0.9093151092529297,0.391804963350296,0.7792580723762512,1e-04
11,0.6559863090515137,0.2597443461418152,0.7608676552772522,0.22649110853672028,0.9945698976516724,0.8111662268638611,0.17436175048351288,0.9163612127304077,0.4146365523338318,0.7753185033798218,1e-04
12,0.6462222933769226,0.26287001371383667,0.7725240588188171,0.2354433536529541,0.9950751662254333,0.7942882180213928,0.18099386990070343,0.9239433407783508,0.44290146231651306,0.7743011116981506,1e-04
13,0.6342366933822632,0.2675783932209015,0.7865263819694519,0.24720072746276855,0.9959592223167419,0.7758073806762695,0.18797557055950165,0.9295729398727417,0.4669656455516815,0.7834654450416565,1e-04
14,0.6274083256721497,0.2694702446460724,0.795968770980835,0.2557045519351959,0.9957787990570068,0.7575053572654724,0.19495970010757446,0.9349058866500854,0.49173685908317566,0.795418918132782,1e-04
15,0.6182095408439636,0.273045152425766,0.806743323802948,0.2662298381328583,0.9961611032485962,0.7309596538543701,0.20486211776733398,0.9343059659004211,0.4891798198223114,0.8181800842285156,1e-04
16,0.6104893684387207,0.2757161557674408,0.8149917125701904,0.2748401165008545,0.9960839152336121,0.712693989276886,0.2138308882713318,0.942497968673706,0.5303409695625305,0.812944233417511,1e-04
17,0.60249263048172,0.2789808511734009,0.8244381546974182,0.28543365001678467,0.9961621761322021,0.6918258666992188,0.2238129824399948,0.9437869787216187,0.5372791290283203,0.8168140649795532,1e-04
18,0.5969296097755432,0.28100165724754333,0.8306012749671936,0.29280030727386475,0.9962511658668518,0.6594339609146118,0.23575381934642792,0.9396672248840332,0.5145270824432373,0.8565680384635925,1e-04
19,0.589204728603363,0.283814936876297,0.8403056859970093,0.3051404058933258,0.9958884716033936,0.6285765767097473,0.24747781455516815,0.9403846859931946,0.5173895359039307,0.8879008889198303,1e-04
20,0.5820202827453613,0.286910742521286,0.847099244594574,0.31449025869369507,0.9962093830108643,0.6012219786643982,0.26270028948783875,0.9410539269447327,0.5204077363014221,0.8955851793289185,1e-04
